"study","group","SID","item","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 2","control","study 2_s001","study 2_control_1","voting",1,0,5,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s001","study 2_control_2","voting",2,0,31,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s001","study 2_control_3","voting",3,0,45,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s001","study 2_control_4","voting",4,0,25,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s001","study 2_control_5","voting",5,0,57,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s005","study 2_control_1","voting",1,0,0,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s005","study 2_control_2","voting",2,0,0,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s005","study 2_control_3","voting",3,0,0,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s005","study 2_control_4","voting",4,0,0,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s005","study 2_control_5","voting",5,0,0,100,100,1.48313470949877,1.41956235071294,0,0
"study 2","control","study 2_s009","study 2_control_1","voting",1,0,78,100,100,1.35477607791507,1.35500306809328,0.178929374224229,0.0943210758390832
"study 2","control","study 2_s009","study 2_control_2","voting",2,0,85,100,100,1.35477607791507,1.35500306809328,0.178929374224229,0.0943210758390832
"study 2","control","study 2_s009","study 2_control_3","voting",3,0,80,93,93,1.35477607791507,1.35500306809328,-0.212478631891271,-0.377284303356331
"study 2","control","study 2_s009","study 2_control_4","voting",4,0,85,91,100,1.35477607791507,1.35500306809328,-0.324309490781414,0.0943210758390832
"study 2","control","study 2_s009","study 2_control_5","voting",5,0,95,100,100,1.35477607791507,1.35500306809328,0.178929374224229,0.0943210758390832
"study 2","control","study 2_s011","study 2_control_1","voting",1,0,18,50,66,-0.498401665574597,-0.424988581277412,-0.0335492576670429,0.404233182167498
"study 2","control","study 2_s011","study 2_control_2","voting",2,0,62,54,61,-0.498401665574597,-0.424988581277412,0.190112460113243,0.0673721970279163
"study 2","control","study 2_s011","study 2_control_3","voting",3,0,31,52,59,-0.498401665574597,-0.424988581277412,0.0782816012230999,-0.0673721970279163
"study 2","control","study 2_s011","study 2_control_4","voting",4,0,50,50,59,-0.498401665574597,-0.424988581277412,-0.0335492576670429,-0.0673721970279163
"study 2","control","study 2_s011","study 2_control_5","voting",5,0,20,47,55,-0.498401665574597,-0.424988581277412,-0.201295546002257,-0.336860985139582
"study 2","control","study 2_s014","study 2_control_1","voting",1,0,0,100,100,1.39488815028498,1.41956235071294,0.123013944779157,0
"study 2","control","study 2_s014","study 2_control_2","voting",2,0,0,100,100,1.39488815028498,1.41956235071294,0.123013944779157,0
"study 2","control","study 2_s014","study 2_control_3","voting",3,0,0,100,100,1.39488815028498,1.41956235071294,0.123013944779157,0
"study 2","control","study 2_s014","study 2_control_4","voting",4,0,0,99,100,1.39488815028498,1.41956235071294,0.0670985153340859,0
"study 2","control","study 2_s014","study 2_control_5","voting",5,0,1,90,100,1.39488815028498,1.41956235071294,-0.436140349671557,0
"study 2","control","study 2_s026","study 2_control_1","voting",1,0,57,39,7,-0.418177520834784,-2.02974789210902,-0.760449840452971,-1.22617398590808
"study 2","control","study 2_s026","study 2_control_2","voting",2,0,73,54,31,-0.418177520834784,-2.02974789210902,0.0782816012230999,0.390758742761915
"study 2","control","study 2_s026","study 2_control_3","voting",3,0,59,83,38,-0.418177520834784,-2.02974789210902,1.69982905513017,0.862364121957329
"study 2","control","study 2_s026","study 2_control_4","voting",4,0,58,79,35,-0.418177520834784,-2.02974789210902,1.47616733734989,0.66024753087358
"study 2","control","study 2_s026","study 2_control_5","voting",5,0,75,8,15,-0.418177520834784,-2.02974789210902,-2.49382815325019,-0.687196409684746
"study 2","control","study 2_s027","study 2_control_1","voting",1,0,85,88,92,1.21839503185739,1.20743899353405,-0.301943319003386,-0.229065469894916
"study 2","control","study 2_s027","study 2_control_2","voting",2,0,100,91,98,1.21839503185739,1.20743899353405,-0.134197030668172,0.175167712272582
"study 2","control","study 2_s027","study 2_control_3","voting",3,0,94,93,95,1.21839503185739,1.20743899353405,-0.0223661717780289,-0.0269488788111669
"study 2","control","study 2_s027","study 2_control_4","voting",4,0,90,100,99,1.21839503185739,1.20743899353405,0.369041834337471,0.242539909300498
"study 2","control","study 2_s027","study 2_control_5","voting",5,0,91,95,93,1.21839503185739,1.20743899353405,0.089464687112114,-0.161693272867
