"study","group","SID","item","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 4","none","study 4_s001","study 4_1","health",1,0,0,0,4.6,-0.879529846498273,-1.57646799660029,-0.874443270798687,0.659191260636809
"study 4","none","study 4_s002","study 4_1","health",1,0,5.6,5.7,5.5,1.26835306381566,0.911527581391097,-0.315520767813959,-0.825473740797446
"study 4","none","study 4_s003","study 4_1","health",1,0,10,8.3,8.4,1.96059243551322,1.07378816256445,0.139730625746182,0.427583520413066
"study 4","none","study 4_s004","study 4_1","health",1,0,0.5,3.8,4.7,-1.33886625201722,-0.973785837956412,0.815846556776094,0.243485060235218
"study 4","none","study 4_s038","study 4_1","health",1,0,10,10,10,0.220289716011871,0.0152310377668714,1.96524363952695,2.00132842193338
"study 4","none","study 4_s039","study 4_1","health",1,0,8.8,0.5,8.7,0.0262039108630221,0.733813611534569,-1.32518722481863,0.831412400803183
"study 4","none","study 4_s040","study 4_1","health",1,0,3.7,3.1,7.6,0.433784101675605,1.02742799651492,-0.671608491489713,0.0831412400803182
"study 4","none","study 4_s041","study 4_1","health",1,0,9.6,8.9,7.5,1.19718826859441,1.15878180032192,0.887965589419285,-0.0653252600631073
"study 4","none","study 4_s072","study 4_1","health",1,0,5.7,3.7,3.4,-1.20300618841302,-1.02014600400594,0.685130810110311,-0.33850362032701
"study 4","none","study 4_s073","study 4_1","health",1,0,4.8,1.7,8.8,-0.52370587039205,-0.417463845362065,-0.509340668042534,1.7637820217039
"study 4","none","study 4_s074","study 4_1","health",1,0,7.5,8.6,5.2,0.673156594692519,0.502012781286925,1.14488964321065,-0.653252600631073
"study 4","none","study 4_s075","study 4_1","health",1,0,5.3,6,5.9,1.28129211749225,0.73381361153457,-0.216357097929572,-0.49884744048191
"study 4","none","study 4_s076","study 4_1","health",1,0,0,5.4,3.4,-1.01538991010247,-1.80054213250634,1.16742684091165,0.261301040252429
"study 4","none","study 4_s077","study 4_1","health",1,0,8,5.6,6.9,0.0326734377013171,-0.757438396391943,0.509340668042534,1.1224067410843
"study 4","none","study 4_s110","study 4_1","health",1,0,1.2,0.2,6.8,1.02251104396045,0.455652615237396,-2.12751146297412,0.142527840137688
"study 4","none","study 4_s111","study 4_1","health",1,0,9.2,0.7,6.2,-0.633687826643065,-0.0929426830153627,-0.793309359075097,0.27911702026964
"study 4","none","study 4_s002","study 4_2","health",2,0,10,10,8.4,1.26835306381566,0.911527581391097,1.23503843401464,0.552295380533543
"study 4","none","study 4_s005","study 4_2","health",1,0,0.9,1,8.8,-0.452541075170805,0.0615912038164004,-0.811339117235895,1.3955851013482
"study 4","none","study 4_s006","study 4_2","health",1,0,0,0,4.7,-2.1346180531275,-0.626084592584945,0,-0.023754640022948
"study 4","none","study 4_s042","study 4_2","health",1,0,0.2,0.1,0.1,1.17777968807953,-1.15922650215453,-2.27174952826051,-1.79941398173832
"study 4","none","study 4_s043","study 4_2","health",1,0,6.7,7.4,5.3,0.970754829254087,-0.147029543406479,0.504833228502335,-0.106895880103267
"study 4","none","study 4_s044","study 4_2","health",1,0,8.8,7.2,8.9,0.679626121530814,0.73381361153457,0.635548975168118,0.926430960894976
"study 4","none","study 4_s075","study 4_2","health",2,0,8.6,8.4,8.7,1.28129211749225,0.73381361153457,0.649071293788716,0.831412400803183
"study 4","none","study 4_s078","study 4_2","health",1,0,3.9,2.7,4,-0.239046689507071,-0.402010456678889,-0.347072844595355,-0.528540740510595
"study 4","none","study 4_s079","study 4_2","health",1,0,6.6,2.2,6.2,0.705504228883994,0.695180139826629,-1.18545659907245,-0.326626300315536
"study 4","none","study 4_s080","study 4_2","health",1,0,6,4.6,7,-0.0967170990645822,-0.718804924684003,0.238894295630569,1.14022272110151
"study 4","none","study 4_s112","study 4_2","health",1,0,0,4.7,7.2,0.110307759760857,1.05060807953968,0.130715746665783,-0.124711860120478
"study 4","none","study 4_s007","study 4_3","health",1,0,0,1.8,7.5,-0.808365051277029,-0.942879060590059,-0.274953811952164,1.54999026149736
"study 4","none","study 4_s008","study 4_3","health",1,0,0,1.6,2.8,-1.33886625201722,-2.18687684958575,0.0225371977009971,0.273178360263903
"study 4","none","study 4_s045","study 4_3","health",1,0,2.7,0.1,4.9,0.964285302415792,0.56382633601963,-2.12300402343392,-0.843289720814657
"study 4","none","study 4_s046","study 4_3","health",1,0,0,0.8,8.8,-0.394315333626151,0.702906834168217,-0.92402510574088,0.902676320872028
"study 4","none","study 4_s047","study 4_3","health",1,0,2.9,1.4,2.8,-0.0449608843582227,-1.54556121923394,-0.951069742982076,-0.21973042021227
"study 4","none","study 4_s081","study 4_3","health",1,0,0,0,1.3,-1.00245085642588,-0.826978645466237,-0.788801919534898,-1.48466500143426
"study 4","none","study 4_s082","study 4_3","health",1,0,10,3,10,0.00679533034813736,-0.0234024339410694,-0.410176998158147,2.03102172196206
"study 4","none","study 4_s083","study 4_3","health",1,0,0,0,3.4,-0.678974514511129,0.239305173672928,-1.01417389654487,-1.30650520126215
"study 4","none","study 4_s084","study 4_3","health",1,0,7.5,7.8,7,1.55948177153893,0.695180139826629,0.238894295630569,0.0534479400516331
"study 4","none","study 4_s085","study 4_3","health",1,0,2.3,2.2,1.6,0.382027886969245,-0.247476569847126,-0.960084622062475,-1.78753666172684
"study 4","none","study 4_s086","study 4_3","health",1,0,0,0,2.2,-0.57546208509841,-0.873338811515766,-1.08629292918806,-1.02144952098677
"study 4","none","study 4_s113","study 4_3","health",1,0,1.5,1.5,1.3,0.0520820182162019,-1.02014600400594,-0.982621819763472,-1.33619850129083
"study 4","none","study 4_s114","study 4_3","health",1,0,1.7,3.1,6.5,0.821955711973303,0.633366585093924,-0.942054863901678,-0.136589180131951
"study 4","none","study 4_s005","study 4_4","health",2,0,0,3.2,5.6,-0.452541075170805,0.0615912038164004,-0.0180297581607976,-0.124711860120478
"study 4","none","study 4_s009","study 4_4","health",1,0,0,0.1,6.7,-1.2288842957662,-0.0234024339410694,-0.594982019306323,0.463215480447488
"study 4","none","study 4_s045","study 4_4","health",2,0,7.9,8.7,6.8,0.964285302415792,0.56382633601963,0.978114380223273,0.0593866000573702
"study 4","none","study 4_s047","study 4_4","health",2,0,4.2,6.3,5,-0.0449608843582227,-1.54556121923394,0.815846556776094,0.825473740797446
"study 4","none","study 4_s048","study 4_4","health",1,0,0,0,5.6,-1.53942158400436,-0.456097317070006,-0.414684437698346,0.273178360263903
"study 4","none","study 4_s049","study 4_4","health",1,0,0,0,5.4,1.77297615720266,1.61465676647562,-2.72249348228045,-1.41340108136541
"study 4","none","study 4_s050","study 4_4","health",1,0,1.5,8.3,6.5,0.259106877041641,-0.0929426830153627,1.32518722481863,0.421644860407329
"study 4","none","study 4_s083","study 4_4","health",2,0,0,1.9,6.5,-0.678974514511129,0.239305173672928,-0.329043086434557,0.166282480160636
"study 4","none","study 4_s087","study 4_4","health",1,0,2.2,6.3,2.3,-0.426662967817626,-1.49147435884282,1.08178548964786,-0.49884744048191
"study 4","none","study 4_s115","study 4_4","health",1,0,5,6.7,4,1.54654271786234,0.94243435875745,-0.148745504826581,-1.56186758150884
"study 4","none","study 4_s116","study 4_4","health",1,0,7.1,5.9,8,0.543766057926619,0.6488199737771,0.261431493331566,0.564172700545017
"study 4","none","study 4_s004","study 4_5","health",2,0,4.1,6,7,-1.33886625201722,-0.973785837956412,1.60915591585119,1.33619850129083
"study 4","none","study 4_s005","study 4_5","health",3,0,0,0,7.5,-0.452541075170805,0.0615912038164004,-1.17193428045185,0.77796446075155
"study 4","none","study 4_s010","study 4_5","health",1,0,0,1.9,5,-0.756608836570669,-0.626084592584945,-0.274953811952164,0.11877320011474
"study 4","none","study 4_s011","study 4_5","health",1,0,0,2.3,2.3,-0.355498172596381,-0.850158728491001,-0.410176998158147,-0.991756220958083
"study 4","none","study 4_s012","study 4_5","health",1,0,6.5,6.9,7.5,0.925468141386023,1.00424791349016,0.356087723675754,0.0534479400516331
"study 4","none","study 4_s013","study 4_5","health",1,0,0,0.6,5.5,0.50494889689685,0.617913196410748,-1.62267823447179,-0.599804660579439
"study 4","none","study 4_s038","study 4_5","health",2,0,1.2,0,1.9,0.220289716011871,0.0152310377668714,-1.64070799263259,-1.84692326178421
"study 4","none","study 4_s040","study 4_5","health",2,0,5.5,3.8,5.6,0.433784101675605,1.02742799651492,-0.419191877238546,-0.867044360837605
"study 4","none","study 4_s043","study 4_5","health",2,0,8.2,8.9,6.2,0.970754829254087,-0.147029543406479,1.04572597332626,0.320687640309799
"study 4","none","study 4_s051","study 4_5","health",1,0,4.2,8.5,6.7,0.543766057926619,1.09696824558921,1.19897891769304,-0.39789022038438
"study 4","none","study 4_s052","study 4_5","health",1,0,1.4,1.8,1.9,1.79885426455584,1.59920337779244,-2.09145194665253,-3.0643485629603
"study 4","none","study 4_s053","study 4_5","health",1,0,0.6,4.3,7.4,-0.931286061204633,0.718360222851393,0.712175447351507,0.225669080218007
"study 4","none","study 4_s079","study 4_5","health",2,0,7.4,7.3,7.3,0.705504228883994,0.695180139826629,0.653578733328915,0.195975780189322
"study 4","none","study 4_s080","study 4_5","health",2,0,6.2,6,7.3,-0.0967170990645822,-0.718804924684003,0.743727524132903,1.2827505612392
"study 4","none","study 4_s083","study 4_5","health",3,0,0.8,7.2,7.2,-0.678974514511129,0.239305173672928,1.58211127860999,0.49884744048191
"study 4","none","study 4_s088","study 4_5","health",1,0,7.1,6.7,8.4,0.252637350203346,0.455652615237396,0.752742403213302,0.902676320872028
"study 4","none","study 4_s089","study 4_5","health",1,0,3.4,2.2,2.5,0.155594447628921,0.56382633601963,-0.802324238155496,-1.98351244191617
"study 4","none","study 4_s090","study 4_5","health",1,0,0.2,0.9,0.7,-0.439602021494216,-1.36784724937741,-0.856413512637889,-1.35401448130804
"study 4","none","study 4_s114","study 4_5","health",2,0,0.8,6.4,7.3,0.821955711973303,0.633366585093924,0.247909174710968,0.243485060235218
"study 4","none","study 4_s117","study 4_5","health",1,0,8.9,8.3,10,1.66946372778994,1.32104238149527,0.342565405055156,0.99769488096382
"study 4","none","study 4_s118","study 4_5","health",1,0,1.9,2.7,3.7,-0.116125679579467,-0.432917234045241,-0.432714195859144,-0.647313940625335
"study 4","none","study 4_s014","study 4_6","health",1,0,0,2.5,8.2,-0.885999373336568,-0.0311291282826571,0.0315520767813959,1.18179334114167
"study 4","none","study 4_s015","study 4_6","health",1,0,0,0,8.8,-0.56252303142182,0.672000056801865,-1.09530780826846,0.926430960894976
"study 4","none","study 4_s016","study 4_6","health",1,0,0.3,6.6,6.3,-0.0967170990645822,0.587006419044395,0.960084622062475,-0.195975780189322
"study 4","none","study 4_s017","study 4_6","health",1,0,2.9,5.7,8.1,-0.148473313770942,-1.31376038898629,0.671608491489713,2.12010162204812
"study 4","none","study 4_s040","study 4_6","health",3,0,8.2,7.7,7.3,0.433784101675605,1.02742799651492,0.987129259303672,-0.0593866000573702
"study 4","none","study 4_s047","study 4_6","health",3,0,3,4.8,5.1,-0.0449608843582227,-1.54556121923394,0.274953811952164,0.872983020843342
"study 4","none","study 4_s051","study 4_6","health",2,0,3.1,7.1,6.3,0.543766057926619,1.09696824558921,0.69414568919071,-0.587927340567965
"study 4","none","study 4_s054","study 4_6","health",1,0,6.5,8.7,5,-1.06067659797053,-1.50692774752599,2.38894295630569,0.795780440768761
"study 4","none","study 4_s055","study 4_6","health",1,0,8.9,7.8,7.8,0.252637350203346,-0.131576154723303,1.14939708275085,1.06895880103266
"study 4","none","study 4_s074","study 4_6","health",2,0,8.8,9.2,9,0.673156594692519,0.502012781286925,1.36124674114022,1.15210004111298
"study 4","none","study 4_s091","study 4_6","health",1,0,10,7.7,9.3,0.46613173586708,0.138858147232282,0.964592061602675,1.57374490152031
"study 4","none","study 4_s092","study 4_6","health",1,0,0,5.7,7.8,1.41068265425814,1.39058263056956,-0.414684437698346,-0.10095722009753
"study 4","none","study 4_s111","study 4_6","health",2,0,10,6.8,7.5,-0.633687826643065,-0.0929426830153627,1.40632113654222,0.896737660866291
"study 4","none","study 4_s119","study 4_6","health",1,0,9.8,10,10,0.828425238811598,1.52966312871815,1.5415443227482,0.83735106080892
"study 4","none","study 4_s120","study 4_6","health",1,0,5.3,10,6.2,0.550235584764915,0.532919558653278,1.73536422297677,-0.201914440195059
"study 4","none","study 4_s121","study 4_6","health",1,0,7.7,9,9.4,2.00587912338128,2.10916520433726,0.360595163215953,0.106895880103266
"study 4","none","study 4_s012","study 4_7","health",2,0,7.1,6.7,7.8,0.925468141386023,1.00424791349016,0.283968691032563,0.195975780189322
"study 4","none","study 4_s015","study 4_7","health",2,0,0,0,3.6,-0.56252303142182,0.672000056801865,-1.09530780826846,-1.54405160149163
"study 4","none","study 4_s018","study 4_7","health",1,0,0,0,1.2,2.39405073367898,1.49102965701021,-3.15520767813959,-3.31377228320126
"study 4","none","study 4_s019","study 4_7","health",1,0,0,0,2.1,0.498479370058555,-0.193389709456008,-1.83452789286116,-1.59156088153752
"study 4","none","study 4_s020","study 4_7","health",1,0,7.5,7.2,7.5,-0.323150538404906,0.672000056801865,1.33420210389903,0.308810320298325
"study 4","none","study 4_s021","study 4_7","health",1,0,8.7,5,6.7,0.653748014177634,0.6488199737771,-0.139730625746182,-0.0534479400516331
"study 4","none","study 4_s044","study 4_7","health",2,0,1.1,1.5,2.8,0.679626121530814,0.73381361153457,-1.41984345516282,-1.97163512190469
"study 4","none","study 4_s053","study 4_7","health",2,0,0,0,5.9,-0.931286061204633,0.718360222851393,-0.838383754477091,-0.486970120470436
