"study","group","SID","item","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 1","control","humor_s0001","study 1_control_4","covid",1,0,2,5,5,-0.176034430927959,-0.260162220431016,-0.217492613065734,-0.486457644975914
"study 1","control","humor_s0001","study 1_control_7","covid",2,0,2,5,6,-0.176034430927959,-0.260162220431016,-0.217492613065734,0.72968646746387
"study 1","control","humor_s0001","study 1_control_8","covid",3,0,2,5,5,-0.176034430927959,-0.260162220431016,-0.217492613065734,-0.486457644975914
"study 1","control","humor_s0001","study 1_control_12","covid",4,0,2,5,5,-0.176034430927959,-0.260162220431016,-0.217492613065734,-0.486457644975914
"study 1","control","humor_s0001","study 1_control_17","covid",5,0,2,6,6,-0.176034430927959,-0.260162220431016,0.869970452262935,0.72968646746387
"study 1","control","humor_s0002","study 1_control_4","covid",1,0,7,7,7,1.27455537189514,0.838998218651434,0,0.486457644975914
"study 1","control","humor_s0002","study 1_control_7","covid",2,0,7,7,7,1.27455537189514,0.838998218651434,0,0.486457644975914
"study 1","control","humor_s0002","study 1_control_8","covid",3,0,7,7,7,1.27455537189514,0.838998218651434,0,0.486457644975914
"study 1","control","humor_s0002","study 1_control_12","covid",4,0,5,7,5,1.27455537189514,0.838998218651434,0,-1.94583057990365
"study 1","control","humor_s0002","study 1_control_17","covid",5,0,7,7,7,1.27455537189514,0.838998218651434,0,0.486457644975914
"study 1","mocking","humor_s0003","study 1_mocking_4","covid",1,0,1,2,2,-0.498387720444203,-0.809742439972242,-3.04489658292027,-3.40520351483139
"study 1","mocking","humor_s0003","study 1_mocking_7","covid",2,0,1,6,6,-0.498387720444203,-0.809742439972242,1.3049556783944,1.45937293492774
"study 1","mocking","humor_s0003","study 1_mocking_8","covid",3,0,1,5,5,-0.498387720444203,-0.809742439972242,0.217492613065734,0.243228822487957
"study 1","mocking","humor_s0003","study 1_mocking_12","covid",4,0,1,5,5,-0.498387720444203,-0.809742439972242,0.217492613065734,0.243228822487957
"study 1","mocking","humor_s0003","study 1_mocking_17","covid",5,0,6,6,6,-0.498387720444203,-0.809742439972242,1.3049556783944,1.45937293492774
"study 1","non-mocking","humor_s0004","study 1_non-mocking_4","covid",1,0,1,2,6,-0.820741009960446,0.289417999110209,-2.60991135678881,0
"study 1","non-mocking","humor_s0004","study 1_non-mocking_7","covid",2,0,7,7,7,-0.820741009960446,0.289417999110209,2.82740396985454,1.21614411243978
"study 1","non-mocking","humor_s0004","study 1_non-mocking_8","covid",3,0,4,3,6,-0.820741009960446,0.289417999110209,-1.52244829146014,0
"study 1","non-mocking","humor_s0004","study 1_non-mocking_12","covid",4,0,5,5,6,-0.820741009960446,0.289417999110209,0.652477839197201,0
"study 1","non-mocking","humor_s0004","study 1_non-mocking_17","covid",5,0,3,5,5,-0.820741009960446,0.289417999110209,0.652477839197201,-1.21614411243978
"study 1","mocking","humor_s0005","study 1_mocking_4","covid",1,0,3,5,5,0.146318858588283,-0.0769688139172751,-0.652477839197201,-0.72968646746387
"study 1","mocking","humor_s0005","study 1_mocking_7","covid",2,0,5,5,5,0.146318858588283,-0.0769688139172751,-0.652477839197201,-0.72968646746387
"study 1","mocking","humor_s0005","study 1_mocking_8","covid",3,0,6,6,6,0.146318858588283,-0.0769688139172751,0.434985226131468,0.486457644975914
"study 1","mocking","humor_s0005","study 1_mocking_12","covid",4,0,6,6,6,0.146318858588283,-0.0769688139172751,0.434985226131468,0.486457644975914
"study 1","mocking","humor_s0005","study 1_mocking_17","covid",5,0,6,6,6,0.146318858588283,-0.0769688139172751,0.434985226131468,0.486457644975914
"study 1","control","humor_s0006","study 1_control_4","covid",1,0,2,5,6,0.629848792862649,0.838998218651434,-1.3049556783944,-0.72968646746387
"study 1","control","humor_s0006","study 1_control_7","covid",2,0,7,7,7,0.629848792862649,0.838998218651434,0.869970452262935,0.486457644975914
"study 1","control","humor_s0006","study 1_control_8","covid",3,0,7,6,7,0.629848792862649,0.838998218651434,-0.217492613065734,0.486457644975914
"study 1","control","humor_s0006","study 1_control_12","covid",4,0,7,6,6,0.629848792862649,0.838998218651434,-0.217492613065734,-0.72968646746387
"study 1","control","humor_s0006","study 1_control_17","covid",5,0,7,7,7,0.629848792862649,0.838998218651434,0.869970452262935,0.486457644975914
"study 1","non-mocking","humor_s0007","study 1_non-mocking_4","covid",1,0,1,4,4,-0.659564365202325,-0.992935846485984,-0.652477839197201,-0.72968646746387
"study 1","non-mocking","humor_s0007","study 1_non-mocking_7","covid",2,0,2,5,5,-0.659564365202325,-0.992935846485984,0.434985226131468,0.486457644975914
"study 1","non-mocking","humor_s0007","study 1_non-mocking_8","covid",3,0,1,5,5,-0.659564365202325,-0.992935846485984,0.434985226131468,0.486457644975914
"study 1","non-mocking","humor_s0007","study 1_non-mocking_12","covid",4,0,1,4,4,-0.659564365202325,-0.992935846485984,-0.652477839197201,-0.72968646746387
"study 1","non-mocking","humor_s0007","study 1_non-mocking_17","covid",5,0,2,5,5,-0.659564365202325,-0.992935846485984,0.434985226131468,0.486457644975914
"study 1","mocking","humor_s0008","study 1_mocking_4","covid",1,0,7,7,7,1.27455537189514,1.20538503167892,0,0
"study 1","mocking","humor_s0008","study 1_mocking_7","covid",2,0,7,7,7,1.27455537189514,1.20538503167892,0,0
