"study","group","SID","item","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 5","none","study 5_s001","covid_106","covid",1,0,0,100,100,0.958838396921681,0.909948357007629,1.08972185670537,1.03913452161366
"study 5","none","study 5_s001","covid_102","covid",10,0,0,95,96,0.958838396921681,0.909948357007629,0.851791320306818,0.834378950852344
"study 5","none","study 5_s001","covid_100","covid",2,0,0,16,25,0.958838396921681,0.909948357007629,-2.90751115479031,-2.80003243016094
"study 5","none","study 5_s001","climate_103","climate",3,0,0,62,63,0.958838396921681,0.909948357007629,-0.718550219923628,-0.854854507928476
"study 5","none","study 5_s001","covid_104","covid",4,0,0,100,100,0.958838396921681,0.909948357007629,1.08972185670537,1.03913452161366
"study 5","none","study 5_s001","covid_108","covid",5,0,49,71,82,0.958838396921681,0.909948357007629,-0.290275254406234,0.117734453187754
"study 5","none","study 5_s001","climate_109","climate",6,0,83,100,100,0.958838396921681,0.909948357007629,1.08972185670537,1.03913452161366
"study 5","none","study 5_s001","climate_101","climate",7,0,0,61,69,0.958838396921681,0.909948357007629,-0.766136327203339,-0.547721151786509
"study 5","none","study 5_s001","climate_105","climate",8,0,5,79,77,0.958838396921681,0.909948357007629,0.0904136038314502,-0.138210010263885
"study 5","none","study 5_s001","climate_107","climate",9,0,47,87,85,0.958838396921681,0.909948357007629,0.471102462069134,0.271301131258738
"study 5","none","study 5_s002","climate_71","climate",1,0,1,74,79,0.188678071587179,0.784756004901213,0.628136616092179,0.0921400068425901
"study 5","none","study 5_s002","climate_79","climate",10,0,16,100,100,0.188678071587179,0.784756004901213,1.86537540536465,1.16710675333948
"study 5","none","study 5_s002","climate_77","climate",2,0,1,79,84,0.188678071587179,0.784756004901213,0.866067152490731,0.34808447029423
"study 5","none","study 5_s002","covid_70","covid",3,0,0,5,8,0.188678071587179,0.784756004901213,-2.65530478620785,-3.54227137417069
"study 5","none","study 5_s002","climate_73","climate",4,0,31,71,88,0.188678071587179,0.784756004901213,0.485378294253047,0.552840041055541
"study 5","none","study 5_s002","covid_74","covid",5,0,1,4,94,0.188678071587179,0.784756004901213,-2.70289089348756,0.859973397197508
"study 5","none","study 5_s002","climate_75","climate",6,0,1,86,90,0.188678071587179,0.784756004901213,1.1991699034487,0.655217826436197
"study 5","none","study 5_s002","covid_76","covid",7,0,8,82,91,0.188678071587179,0.784756004901213,1.00882547432986,0.706406719126525
"study 5","none","study 5_s002","covid_72","covid",8,0,1,7,38,0.188678071587179,0.784756004901213,-2.56013257164842,-2.00660459346085
"study 5","none","study 5_s002","covid_78","covid",9,0,3,100,100,0.188678071587179,0.784756004901213,1.86537540536465,1.16710675333948
"study 5","none","study 5_s003","covid_70","covid",1,0,0,0,0,-0.217664185951269,-0.0815750716751814,-2.48399480000089,-3.06621467215064
"study 5","none","study 5_s003","covid_76","covid",10,0,81,92,92,-0.217664185951269,-0.0815750716751814,1.89392706973248,1.64316345535953
"study 5","none","study 5_s003","climate_79","climate",2,0,31,58,58,-0.217664185951269,-0.0815750716751814,0.275999422222321,-0.0972588961116229
"study 5","none","study 5_s003","climate_75","climate",3,0,22,57,66,-0.217664185951269,-0.0815750716751814,0.22841331494261,0.312252245411
"study 5","none","study 5_s003","covid_74","covid",4,0,0,0,57,-0.217664185951269,-0.0815750716751814,-2.48399480000089,-0.148447788801951
"study 5","none","study 5_s003","covid_72","covid",5,0,33,56,65,-0.217664185951269,-0.0815750716751814,0.1808272076629,0.261063352720672
"study 5","none","study 5_s003","covid_78","covid",6,0,62,94,98,-0.217664185951269,-0.0815750716751814,1.9890992842919,1.95029681150149
"study 5","none","study 5_s003","climate_71","climate",7,0,28,50,49,-0.217664185951269,-0.0815750716751814,-0.104689436015363,-0.557958930324574
"study 5","none","study 5_s003","climate_77","climate",8,0,69,58,58,-0.217664185951269,-0.0815750716751814,0.275999422222321,-0.0972588961116229
"study 5","none","study 5_s003","climate_73","climate",9,0,27,57,56,-0.217664185951269,-0.0815750716751814,0.22841331494261,-0.199636681492279
"study 5","none","study 5_s004","covid_12","covid",1,0,51,89,89,0.604470149068383,1.01510993277702,0.923170481226384,0.368560027370361
"study 5","none","study 5_s004","covid_10","covid",10,0,94,97,96,0.604470149068383,1.01510993277702,1.30385933946407,0.726882276202656
"study 5","none","study 5_s004","covid_16","covid",2,0,50,96,96,0.604470149068383,1.01510993277702,1.25627323218436,0.726882276202656
