"cond","SID","survey_name","item","value"
"other","s185","sharing_broad","1_sharing_broad","0"
"self","s186","sharing_broad","1_sharing_broad","11"
"self","s187","sharing_broad","1_sharing_broad","0"
"other","s189","sharing_broad","1_sharing_broad","0"
"other","s191","sharing_broad","1_sharing_broad","100"
"self","s192","sharing_broad","1_sharing_broad","63"
"self","s193","sharing_broad","1_sharing_broad","100"
"self","s194","sharing_broad","1_sharing_broad","1"
"self","s195","sharing_broad","1_sharing_broad","0"
"self","s196","sharing_broad","1_sharing_broad","56"
"other","s197","sharing_broad","1_sharing_broad","2"
"self","s198","sharing_broad","1_sharing_broad","79"
"self","s200","sharing_broad","1_sharing_broad","89"
"other","s201","sharing_broad","1_sharing_broad","28"
"self","s202","sharing_broad","1_sharing_broad","77"
"other","s204","sharing_broad","1_sharing_broad","10"
"other","s205","sharing_broad","1_sharing_broad","0"
"other","s206","sharing_broad","1_sharing_broad","77"
"self","s207","sharing_broad","1_sharing_broad","0"
"self","s208","sharing_broad","1_sharing_broad","76"
"other","s210","sharing_broad","1_sharing_broad","26"
"self","s211","sharing_broad","1_sharing_broad","0"
"self","s212","sharing_broad","1_sharing_broad","26"
"other","s214","sharing_broad","1_sharing_broad","83"
"other","s215","sharing_broad","1_sharing_broad","77"
"other","s216","sharing_broad","1_sharing_broad","4"
"self","s217","sharing_broad","1_sharing_broad","0"
"other","s218","sharing_broad","1_sharing_broad","57"
"self","s219","sharing_broad","1_sharing_broad","1"
"other","s222","sharing_broad","1_sharing_broad","67"
"self","s223","sharing_broad","1_sharing_broad","34"
"self","s224","sharing_broad","1_sharing_broad","0"
"other","s227","sharing_broad","1_sharing_broad","94"
"self","s230","sharing_broad","1_sharing_broad","29"
"self","s234","sharing_broad","1_sharing_broad","50"
"other","s235","sharing_broad","1_sharing_broad","94"
"other","s236","sharing_broad","1_sharing_broad","22"
"self","s237","sharing_broad","1_sharing_broad","100"
"self","s242","sharing_broad","1_sharing_broad","80"
"self","s243","sharing_broad","1_sharing_broad","30"
"other","s246","sharing_broad","1_sharing_broad","2"
"self","s248","sharing_broad","1_sharing_broad","80"
"other","s249","sharing_broad","1_sharing_broad","66"
"self","s250","sharing_broad","1_sharing_broad","89"
"other","s251","sharing_broad","1_sharing_broad","0"
"other","s255","sharing_broad","1_sharing_broad","0"
"other","s257","sharing_broad","1_sharing_broad","68"
"self","s258","sharing_broad","1_sharing_broad","89"
"other","s259","sharing_broad","1_sharing_broad","78"
"self","s260","sharing_broad","1_sharing_broad","7"
"other","s261","sharing_broad","1_sharing_broad","1"
"self","s262","sharing_broad","1_sharing_broad","85"
"other","s265","sharing_broad","1_sharing_broad","57"
"self","s268","sharing_broad","1_sharing_broad","100"
"other","s270","sharing_broad","1_sharing_broad","81"
"self","s273","sharing_broad","1_sharing_broad","11"
"other","s274","sharing_broad","1_sharing_broad","62"
"other","s275","sharing_broad","1_sharing_broad","29"
"self","s276","sharing_broad","1_sharing_broad","94"
"self","s277","sharing_broad","1_sharing_broad","100"
"self","s278","sharing_broad","1_sharing_broad","50"
"other","s279","sharing_broad","1_sharing_broad","81"
"self","s280","sharing_broad","1_sharing_broad","4"
"self","s281","sharing_broad","1_sharing_broad","18"
"other","s283","sharing_broad","1_sharing_broad","54"
"self","s287","sharing_broad","1_sharing_broad","3"
"self","s288","sharing_broad","1_sharing_broad","1"
"other","s292","sharing_broad","1_sharing_broad","4"
"other","s294","sharing_broad","1_sharing_broad","91"
"other","s295","sharing_broad","1_sharing_broad","6"
"self","s297","sharing_broad","1_sharing_broad","20"
"other","s299","sharing_broad","1_sharing_broad","0"
"other","s300","sharing_broad","1_sharing_broad","100"
"self","s301","sharing_broad","1_sharing_broad","2"
"other","s303","sharing_broad","1_sharing_broad","71"
"self","s305","sharing_broad","1_sharing_broad","0"
"other","s307","sharing_broad","1_sharing_broad","36"
"self","s308","sharing_broad","1_sharing_broad","84"
"self","s311","sharing_broad","1_sharing_broad","23"
"self","s313","sharing_broad","1_sharing_broad","1"
"self","s314","sharing_broad","1_sharing_broad","62"
"other","s316","sharing_broad","1_sharing_broad","0"
"self","s318","sharing_broad","1_sharing_broad","0"
"self","s319","sharing_broad","1_sharing_broad","99"
"self","s320","sharing_broad","1_sharing_broad","88"
"self","s321","sharing_broad","1_sharing_broad","75"
"other","s322","sharing_broad","1_sharing_broad","0"
"self","s324","sharing_broad","1_sharing_broad","0"
"other","s326","sharing_broad","1_sharing_broad","100"
"other","s327","sharing_broad","1_sharing_broad","81"
"other","s328","sharing_broad","1_sharing_broad","26"
"other","s329","sharing_broad","1_sharing_broad","0"
"self","s330","sharing_broad","1_sharing_broad","100"
"self","s331","sharing_broad","1_sharing_broad","48"
"other","s335","sharing_broad","1_sharing_broad","54"
"self","s337","sharing_broad","1_sharing_broad","0"
"other","s338","sharing_broad","1_sharing_broad","36"
"other","s344","sharing_broad","1_sharing_broad","67"
"self","s345","sharing_broad","1_sharing_broad","15"
"other","s348","sharing_broad","1_sharing_broad","69"
"other","s349","sharing_broad","1_sharing_broad","65"
"other","s352","sharing_broad","1_sharing_broad","93"
"other","s353","sharing_broad","1_sharing_broad","76"
"self","s358","sharing_broad","1_sharing_broad","31"
"self","s360","sharing_broad","1_sharing_broad","85"
"other","s361","sharing_broad","1_sharing_broad","0"
"other","s363","sharing_broad","1_sharing_broad","3"
"other","s364","sharing_broad","1_sharing_broad","72"
"self","s368","sharing_broad","1_sharing_broad","84"
"self","s371","sharing_broad","1_sharing_broad","0"
"other","s372","sharing_broad","1_sharing_broad","61"
"self","s373","sharing_broad","1_sharing_broad","61"
"self","s375","sharing_broad","1_sharing_broad","30"
"other","s380","sharing_broad","1_sharing_broad","0"
"other","s386","sharing_broad","1_sharing_broad","93"
"self","s387","sharing_broad","1_sharing_broad","8"
"other","s390","sharing_broad","1_sharing_broad","95"
"self","s394","sharing_broad","1_sharing_broad","65"
"other","s395","sharing_broad","1_sharing_broad","75"
"other","s396","sharing_broad","1_sharing_broad","100"
"other","s399","sharing_broad","1_sharing_broad","65"
"other","s400","sharing_broad","1_sharing_broad","68"
"self","s401","sharing_broad","1_sharing_broad","87"
"self","s402","sharing_broad","1_sharing_broad","88"
"other","s403","sharing_broad","1_sharing_broad","0"
"other","s406","sharing_broad","1_sharing_broad","57"
"self","s411","sharing_broad","1_sharing_broad","58"
"self","s412","sharing_broad","1_sharing_broad","53"
"self","s414","sharing_broad","1_sharing_broad","52"
"self","s415","sharing_broad","1_sharing_broad","68"
"self","s418","sharing_broad","1_sharing_broad","72"
"self","s419","sharing_broad","1_sharing_broad","11"
"other","s420","sharing_broad","1_sharing_broad","99"
"self","s421","sharing_broad","1_sharing_broad","50"
"self","s422","sharing_broad","1_sharing_broad","0"
"other","s423","sharing_broad","1_sharing_broad","18"
"self","s425","sharing_broad","1_sharing_broad","56"
"self","s432","sharing_broad","1_sharing_broad","19"
"self","s434","sharing_broad","1_sharing_broad","53"
"other","s435","sharing_broad","1_sharing_broad","100"
"other","s436","sharing_broad","1_sharing_broad","86"
"self","s437","sharing_broad","1_sharing_broad","53"
"self","s439","sharing_broad","1_sharing_broad","51"
"other","s442","sharing_broad","1_sharing_broad","82"
"self","s444","sharing_broad","1_sharing_broad","89"
"self","s445","sharing_broad","1_sharing_broad","67"
"self","s446","sharing_broad","1_sharing_broad","26"
"other","s448","sharing_broad","1_sharing_broad","16"
"self","s449","sharing_broad","1_sharing_broad","100"
"self","s450","sharing_broad","1_sharing_broad","0"
"other","s453","sharing_broad","1_sharing_broad","60"
"other","s454","sharing_broad","1_sharing_broad","27"
"self","s456","sharing_broad","1_sharing_broad","83"
"self","s457","sharing_broad","1_sharing_broad","1"
"other","s460","sharing_broad","1_sharing_broad","0"
"other","s462","sharing_broad","1_sharing_broad","0"
"other","s463","sharing_broad","1_sharing_broad","25"
"other","s466","sharing_broad","1_sharing_broad","39"
"other","s467","sharing_broad","1_sharing_broad","92"
"other","s470","sharing_broad","1_sharing_broad","14"
"self","s471","sharing_broad","1_sharing_broad","25"
"other","s473","sharing_broad","1_sharing_broad","64"
"self","s475","sharing_broad","1_sharing_broad","91"
"self","s478","sharing_broad","1_sharing_broad","100"
"other","s479","sharing_broad","1_sharing_broad","65"
"self","s481","sharing_broad","1_sharing_broad","18"
"self","s482","sharing_broad","1_sharing_broad","100"
