"survey_name","group","SID","scale_name","item","value"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_social","2","76"
"GOTV 100 million message testing SHORT","static","s007","msg_share","2","11"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_self","3","50"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_social","3","63"
"GOTV 100 million message testing SHORT","static","s007","msg_share","3","14"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_self","4","45"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_social","4","56"
"GOTV 100 million message testing SHORT","static","s007","msg_share","4","34"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_self","5","53"
"GOTV 100 million message testing SHORT","static","s007","msg_rel_social","5","65"
"GOTV 100 million message testing SHORT","static","s007","msg_share","5","27"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_self","1","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_social","1","23"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_share","1","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_self","2","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_social","2","5"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_share","2","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_self","3","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_social","3","9"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_share","3","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_self","4","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_social","4","19"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_share","4","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_self","5","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_rel_social","5","0"
"GOTV 100 million message testing SHORT","dynamic","s008","msg_share","5","0"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_self","1","100"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_social","1","100"
"GOTV 100 million message testing SHORT","control","s009","msg_share","1","78"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_self","2","100"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_social","2","100"
"GOTV 100 million message testing SHORT","control","s009","msg_share","2","85"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_self","3","93"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_social","3","93"
"GOTV 100 million message testing SHORT","control","s009","msg_share","3","80"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_self","4","91"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_social","4","100"
"GOTV 100 million message testing SHORT","control","s009","msg_share","4","85"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_self","5","100"
"GOTV 100 million message testing SHORT","control","s009","msg_rel_social","5","100"
"GOTV 100 million message testing SHORT","control","s009","msg_share","5","95"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_self","1","50"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_social","1","66"
"GOTV 100 million message testing SHORT","control","s011","msg_share","1","18"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_self","2","54"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_social","2","61"
"GOTV 100 million message testing SHORT","control","s011","msg_share","2","62"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_self","3","52"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_social","3","59"
"GOTV 100 million message testing SHORT","control","s011","msg_share","3","31"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_self","4","50"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_social","4","59"
"GOTV 100 million message testing SHORT","control","s011","msg_share","4","50"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_self","5","47"
"GOTV 100 million message testing SHORT","control","s011","msg_rel_social","5","55"
"GOTV 100 million message testing SHORT","control","s011","msg_share","5","20"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_self","1","50"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_social","1","79"
"GOTV 100 million message testing SHORT","static","s012","msg_share","1","18"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_self","2","73"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_social","2","72"
"GOTV 100 million message testing SHORT","static","s012","msg_share","2","0"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_self","3","53"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_social","3","79"
"GOTV 100 million message testing SHORT","static","s012","msg_share","3","0"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_self","4","49"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_social","4","86"
"GOTV 100 million message testing SHORT","static","s012","msg_share","4","0"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_self","5","52"
"GOTV 100 million message testing SHORT","static","s012","msg_rel_social","5","69"
"GOTV 100 million message testing SHORT","static","s012","msg_share","5","0"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_self","1","71"
